Timestamp,curr_course,curr_prog,demo_age,demo_gender,demo_race,rate_interest,interest_webdev,interest_cybersec,interest_appdev,interest_analytics,interest_ml_ai,interest_programming,interest_game_design,interest_hardware,hear_website,hear_social_media,hear_comm_event,hear_fam_mem,hear_curr_student,hear_alumni,hear_hs_teacher,hear_hs_counselor,hear_in_app_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_mailer,hear_other,motiv_keep_current,motiv_curiosity,motiv_enrichment,motiv_career_adv,motiv_career_change,motiv_pro_dev,motiv_job_disp,motiv_financial,motiv_relocation,motiv_it_cert,motiv_req_class,exp_ms_hs_comp_class,exp_ms_hs_comp_club,exp_competitions,exp_afterschool_prog,exp_summer_prog,exp_ap_class,exp_dual_enrollment_class,exp_fam_friend_influence,exp_fam_friend_in_comp,exp_hs_teacher_counselor,exp_emp_influence,exp_ccm_faculty,exp_ccm_advisor
2022-10-06 09:56:13,CMP 135 Computer Concepts with Applications,Exercise Science,25-34,Woman,White/Caucasian,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response
2022-10-06 09:59:41,CMP 135 Computer Concepts with Applications,Exercise Science,19-20,Man,White/Caucasian,3,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact
2022-10-06 16:32:00,CMP 126 Computer Technology and Applications,Education,21-24,Man,Multi-Racial,2,No,No,No,No,No,No,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 17:06:25,CMP 126 Computer Technology and Applications,Communication,25-34,Man,White/Caucasian,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Don't recall,Yes,Yes,Don't recall,No,Yes,Yes,Don't recall,Don't recall,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 17:35:59,CMP 101 Computer Information Literacy,Education,19-20,Woman,White/Caucasian,3,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact
2022-10-07 12:08:13,CMP 101 Computer Information Literacy,Nursing,18 and younger,Woman,White/Caucasian,1,No,Yes,No,No,No,No,No,No,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No response,No response,No response,No response,No response,No response,No response,High Impact,No response,No response,No response,No response,No response
2022-10-08 11:02:31,CMP 101 Computer Information Literacy,Liberal Arts,21-24,Man,Hispanic or Latino,1,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-09 19:00:53,CMP 101 Computer Information Literacy,Business Administration,18 and younger,Man,Multi-Racial,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact
2022-10-12 17:23:54,CMP 135 Computer Concepts with Applications,Computer Science,19-20,Man,White/Caucasian,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact
2022-10-17 21:28:25,CMP 101 Computer Information Literacy,Not in a degree program,25-34,Man,Asian,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact
